Tsunami,Name,Latitude,Longitude,Depth,Magnitude,Date,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
1,PHILIPPINES: NORTHERN SAMAR,12.0,126.0,33.0,8.1,1897-10-18,0.0,0.0,0.0,2500000.0,67.0,0.0
0.0,IRAN: GORGAN (ASTRABAD); TURKMENISTAN,36.5,54.9,5.0,4.3,1898-01-15,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,"NICARAGUA: LEON, CHINANDEGA, MANAGUA",12.0,-86.0,33.0,7.9,1898-04-29,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,BOLIVIA: SOUTHERN,-21.97,-63.67,10.0,6.9,1899-03-23,0.0,0.0,0.0,0.0,0.0,0.0
0.0,JAMAICA,18.0,-77.0,60.0,7.8,1899-06-14,0.0,0.0,0.0,0.0,0.0,0.0
1,ALASKA: CAPE YAKATAGA,60.0,-142.0,25.0,8.2,1899-09-04,0.0,0.0,0.0,500000.0,0.0,0.0
0.0,ALASKA: CAPE YAKATAGA,60.0,-140.0,25.0,7.8,1899-09-10,0.0,0.0,0.0,0.0,0.0,0.0
1,ALASKA: SE ALASKA,60.0,-140.0,60.0,8.2,1899-09-10,0.0,0.0,0.0,500000.0,0.0,0.0
1,VENEZUELA: MACUTO,11.0,-66.0,25.0,8.4,1900-10-29,1000.0,0.0,0.0,12500000.0,0.0,0.0
0.0,RUSSIA: KURIL ISLANDS,43.0,146.0,40.0,7.9,1900-12-25,0.0,0.0,0.0,0.0,0.0,0.0
0.0,PHILIPPINES: LUZON,14.0,122.0,33.0,7.8,1901-12-14,0.0,0.0,0.0,500000.0,0.0,0.0
0.0,AZERBAIJAN: SEMACHA; N IRAN,40.7,48.6,15.0,6.9,1902-02-13,186.0,0.0,160.0,27500000.0,8496.0,3500.0
0.0,RUSSIA: SEA OF OKHOTSK,50.0,148.0,600.0,8.0,1902-06-11,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"CHINA: XINJIANG, TURKESTAN",39.88,76.2,30.0,7.7,1902-08-22,7500.0,0.0,0.0,27500000.0,5000.0,4.0
0.0,GUAM: AGANA,18.0,146.0,33.0,8.1,1902-09-22,0.0,0.0,50.0,12500000.0,0.0,0.0
0.0,UZBEKISTAN: ANDIZHAN,40.8,72.3,9.0,6.4,1902-12-16,9880.0,0.0,0.0,27500000.0,46704.0,41708.0
0.0,GREECE: MITATA (KYTHERA),36.0,23.0,100.0,7.8,1903-08-11,52.0,0.0,0.0,12500000.0,0.0,0.0
0.0,PHILIPPINES: DAVAO GULF,7.0,126.0,60.0,7.8,1903-12-28,0.0,0.0,0.0,2500000.0,0.0,3.0
0.0,JAPAN: HOKKAIDO,42.5,145.8,40.0,7.6,1904-03-18,0.0,0.0,0.0,500000.0,0.0,0.0
0.0,BULGARIA: STRUMA,41.8,23.2,15.0,7.5,1904-04-04,0.0,0.0,0.0,12500000.0,0.0,0.0
0.0,BULGARIA: STRUMA,41.8,23.2,15.0,7.8,1904-04-04,0.0,0.0,0.0,12500000.0,0.0,0.0
1,RUSSIA: OFF KAMCHATKA,52.0,159.0,30.0,8.3,1904-06-25,0.0,0.0,0.0,500000.0,0.0,0.0
1,RUSSIA: OFF KAMCHATKA,52.0,159.0,30.0,8.1,1904-06-25,0.0,0.0,0.0,500000.0,0.0,0.0
0.0,RUSSIA: OFF KAMCHATKA,52.0,159.0,60.0,7.9,1904-06-27,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"GREECE: SAMOS, PATMOS",37.75,27.0,10.0,6.2,1904-08-11,54.0,0.0,0.0,12500000.0,1540.0,543.0
1,INDIA: KANGRA,33.0,76.0,25.0,7.8,1905-04-04,24000.0,0.0,0.0,27500000.0,0.0,0.0
0.0,TURKEY,40.2,29.0,33.0,6.5,1905-04-15,0.0,0.0,0.0,0.0,0.0,0.0
0.0,ALBANIA: SHKODER,42.1,19.6,20.0,6.6,1905-06-01,1120.0,0.0,0.0,12500023.8,0.0,0.0
1,"ITALY: MONTELEONE, TROPEA, MONTE PORO",38.67,16.07,15.0,7.1,1905-09-08,1557.0,0.0,7000.0,27500000.0,11700.0,0.0
0.0,BULGARIA,42.0,23.0,33.0,6.4,1905-10-08,0.0,0.0,0.0,0.0,0.0,0.0
0.0,GREECE: AEGEAN SEA,40.25,24.2,30.0,7.8,1905-11-08,0.0,0.0,0.0,0.0,0.0,0.0
1,ECUADOR: OFF COAST,1.0,-81.5,25.0,8.6,1906-01-31,2000.0,0.0,0.0,2500000.0,1000.0,0.0
0.0,ALBANIA: ELBASAN,41.1,20.0,15.0,6.5,1906-03-01,0.0,0.0,0.0,12500000.0,0.0,0.0
1,CALIFORNIA: SAN FRANCISCO,37.67,-122.48,20.0,7.9,1906-04-18,1700.0,0.0,0.0,27500400.0,33188.0,0.0
1,CHILE: SOUTH CENTRAL,-33.0,-72.0,25.0,8.2,1906-08-17,9000.0,0.0,0.0,27500100.0,0.0,0.0
0.0,ECUADOR,-2.0,-79.0,150.0,7.9,1906-09-28,0.0,0.0,0.0,500000.0,0.0,0.0
0.0,CHINA: XINJIANG PROVINCE,43.5,85.0,33.0,8.3,1906-12-22,1280.0,0.0,0.0,12500000.0,7000.0,0.0
0.0,ALBANIA,41.1,20.1,13.0,6.2,1907-08-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,TAJIKISTAN: KARATAG,38.5,67.9,35.0,7.4,1907-10-21,17000.0,0.0,0.0,12500000.0,1000.0,0.0
1,ITALY: FERRUZANO,38.133,16.017,33.0,5.9,1907-10-23,1158.0,0.0,0.0,2500000.0,1000.0,0.0
1,"ITALY: MESSINA, SICILY, CALABRIA",38.17,15.58,40.0,7.0,1908-12-28,83000.0,0.0,0.0,27500116.0,5000.0,0.0
0.0,AFGHANISTAN: HINDU-KUSH,36.5,70.5,230.0,8.1,1909-07-07,0.0,0.0,0.0,0.0,0.0,0.0
0.0,GREECE: CHAVARI (ELIS),37.9,21.5,4.0,5.7,1909-07-15,50.0,0.0,0.0,0.0,0.0,0.0
1,GUAM,12.5,145.0,100.0,8.0,1909-12-09,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,ITALY: CALITRI,40.9,15.4,33.0,5.9,1910-06-07,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"ALGERIA: MASQUERAY, KABYLIA",36.0,4.0,33.0,6.4,1910-06-24,62.0,0.0,0.0,500000.0,0.0,0.0
1,PHILIPPINES: SULU SEA,9.0,125.5,60.0,6.2,1910-12-30,0.0,0.0,0.0,500000.0,0.0,0.0
0.0,"KAZAKHSTAN: ALMA-ATA, TURKESTAN",43.5,77.5,25.0,7.7,1911-01-03,1450.0,0.0,0.0,12500000.0,0.0,0.0
0.0,RUSSIA: NEAR KAMCHATKA,51.8,156.0,240.0,7.6,1911-05-04,0.0,0.0,0.0,0.0,0.0,0.0
1,"PHILIPPINES: MINDANAO: TALACOGON,DAVAO,BUTUAN",9.0,126.0,50.0,7.8,1911-07-12,0.0,0.0,0.0,12500000.0,0.0,3.0
