Year,Mo,Dy,Tsunami,Volcano,Name,Latitude,Longitude,Depth,Magnitude,Deaths/Num,Deaths/Scale,Missing/Num,Missing/Scale,Injuries/Num,Injuries/Scale,Damage/$Mill,Damage/ Scale,Houses Destroyed/ Num,Houses Destroyed/ Scale,Houses Damaged/ Num,Houses Damaged/ Scale
1899,9,10,Tsu,,ALASKA: SE ALASKA,60,-140,60,8.2,,,,,,,,1,,,,
1900,10,29,Tsu,,VENEZUELA: MACUTO,11,-66,25,8.4,,3,,,,,,3,,,,
1900,12,25,,,RUSSIA: KURIL ISLANDS,43,146,40,7.9,,,,,,,,,,,,
1901,12,14,,,PHILIPPINES: LUZON,14,122,33,7.8,,,,,,,,1,,,,
1902,2,13,,,AZERBAIJAN: SEMACHA; N IRAN,40.7,48.6,15,6.9,86,2,,,60,2,,4,3496,4,3496,4
1902,6,11,,,RUSSIA: SEA OF OKHOTSK,50,148,600,8,,,,,,,,,,,,
1902,8,22,,,"CHINA: XINJIANG, TURKESTAN",39.88,76.2,30,7.7,2500,4,,,,,,4,,4,,4
1902,9,22,,,GUAM: AGANA,18,146,33,8.1,,,,,,1,,3,,,,
1902,12,16,,,UZBEKISTAN: ANDIZHAN,40.8,72.3,9,6.4,4880,4,,,,,,4,41704,4,41704,4
1903,8,11,,,GREECE: MITATA (KYTHERA),36,23,100,7.8,2,1,,,,,,3,,,,
1903,12,28,,,PHILIPPINES: DAVAO GULF,7,126,60,7.8,,,,,,,,2,,,,3
1904,3,18,,,JAPAN: HOKKAIDO,42.5,145.8,40,7.6,,,,,,,,1,,,,
1904,4,4,,,BULGARIA: STRUMA,41.8,23.2,15,7.5,,,,,,,,3,,,,
1904,4,4,,,BULGARIA: STRUMA,41.8,23.2,15,7.8,,,,,,,,3,,,,
1904,6,25,Tsu,,RUSSIA: OFF KAMCHATKA,52,159,30,8.3,,,,,,,,1,,,,
1904,6,25,Tsu,,RUSSIA: OFF KAMCHATKA,52,159,30,8.1,,,,,,,,1,,,,
1904,6,27,,,RUSSIA: OFF KAMCHATKA,52,159,60,7.9,,,,,,,,,,,,
1904,8,11,,,"GREECE: SAMOS, PATMOS",37.75,27,10,6.2,4,1,,,,,,3,540,3,540,3
1905,4,4,Tsu,,INDIA: KANGRA,33,76,25,7.8,19000,4,,,,,,4,,,,
1905,4,15,,,TURKEY,40.2,29,33,6.5,,,,,,,,,,,,
1905,6,1,,,ALBANIA: SHKODER,42.1,19.6,20,6.6,120,3,,,,,23.8,3,,,,
1905,9,8,Tsu,,"ITALY: MONTELEONE, TROPEA, MONTE PORO",38.67,16.07,15,7.1,557,3,,,2000,4,,4,6700,4,,
1905,10,8,,,BULGARIA,42,23,33,6.4,,,,,,,,,,,,
1905,11,8,,,GREECE: AEGEAN SEA,40.25,24.2,30,7.8,,,,,,,,,,,,
1906,1,31,Tsu,,ECUADOR: OFF COAST,1,-81.5,25,8.6,1000,3,,,,,,2,,3,,
1906,3,1,,,ALBANIA: ELBASAN,41.1,20,15,6.5,,,,,,,,3,,,,
1906,4,18,Tsu,,CALIFORNIA: SAN FRANCISCO,37.67,-122.48,20,7.9,700,3,,,,,400,4,28188,4,,
1906,8,17,Tsu,,CHILE: SOUTH CENTRAL,-33,-72,25,8.2,4000,4,,,,,100,4,,,,
1906,9,28,,,ECUADOR,-2,-79,150,7.9,,,,,,,,1,,,,
1906,12,22,,,CHINA: XINJIANG PROVINCE,43.5,85,33,8.3,280,3,,,,,,3,2000,4,,
1907,8,16,,,ALBANIA,41.1,20.1,13,6.2,,,,,,,,,,,,
1907,10,21,,,TAJIKISTAN: KARATAG,38.5,67.9,35,7.4,12000,4,,,,,,3,,3,,
1907,10,23,Tsu,,ITALY: FERRUZANO,38.133,16.017,33,5.9,158,3,,,,,,2,,3,,
1908,12,28,Tsu,,"ITALY: MESSINA, SICILY, CALABRIA",38.17,15.58,40,7,78000,4,,,,,116,4,,4,,
1909,7,7,,,AFGHANISTAN: HINDU-KUSH,36.5,70.5,230,8.1,,,,,,,,,,,,
1909,7,15,,,GREECE: CHAVARI (ELIS),37.9,21.5,4,5.7,,1,,,,,,,,,,
1909,12,9,Tsu,,GUAM,12.5,145,100,8,,,,,,,,2,,,,
1910,6,7,,,ITALY: CALITRI,40.9,15.4,33,5.9,,,,,,,,,,,,
1910,6,24,,,"ALGERIA: MASQUERAY, KABYLIA",36,4,33,6.4,12,1,,,,,,1,,,,
1910,12,30,Tsu,,PHILIPPINES: SULU SEA,9,125.5,60,6.2,,,,,,,,1,,,,
1911,1,3,,,"KAZAKHSTAN: ALMA-ATA, TURKESTAN",43.5,77.5,25,7.7,450,3,,,,,,3,,,,
1911,5,4,,,RUSSIA: NEAR KAMCHATKA,51.8,156,240,7.6,,,,,,,,,,,,
1911,7,12,Tsu,,"PHILIPPINES: MINDANAO: TALACOGON,DAVAO,BUTUAN",9,126,50,7.8,,,,,,,,3,,,,3
1911,9,22,Tsu,,ALASKA: PRINCE WILLIAM SOUND,60.5,-149,60,6.9,,,,,,,,,,,,
1911,10,15,,,ITALY: ETNA,37.7,15.2,1,4.3,,,,,,,,,,,,
1911,12,16,,,MEXICO: NEAR COAST OF GUERRERO,17,-100.7,50,7.6,,,,,,,,,,,,
1912,1,24,,,GREECE: ASPROGERAKAS (KEPHALLENIA),38,20.5,60,7,,2,,,,,,,,,,
1912,5,6,,,ICELAND,64,-20,60,7.5,,,,,,,,,,,,
1912,5,23,,,"MYANMAR (BURMA): MANDALAY, MOGOK, MAYMYO",21,97,25,8,,1,,,,,,3,,,,
1912,7,24,,,"PERU: HUANCABAMBA,CAJAMARCA; ECUADOR: GUAYAQUIL",-5.62,-80.413,30,7,,3,,,,3,,3,,3,,
1912,10,31,Tsu,,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS",7,138,33,6.9,,,,,,,,,,,,
1912,11,7,,,ALASKA: ALASKA PENINSULA,57.5,-155,90,7.5,,,,,,,,,,,,
1913,2,22,Tsu,,TASMAN SEA,-41.8,171.5,33,6.8,,,,,,,,1,,1,,
1913,2,24,,,"ECUADOR: GONZANAMA, SAN PEDRO, MOLLETURE",-3.4,-79.6,50,7.7,,3,,,,,,3,,3,,
1913,3,14,Tsu,Vol,INDONESIA: SANGIHE ISLAND,5.354,126.121,15,7.8,138,3,,,,2,,2,,3,,
1913,7,28,Tsu,,PERU: AREQUIPA,-16.6,-73.3,30,7,,,,,,,,1,,,,
1913,8,6,Tsu,,"PERU: CARAVELI, CHUQUIBAMBA, OCONA, ATICO",-17,-74,33,7.9,,2,,,,,,3,,3,,3
1913,11,4,,,"PERU: AMYARAES, ABANCAY, CASAYA, SORAYA",-14.2,-72.9,10,6.3,150,3,,,,,,3,,3,,
1913,12,21,,,CHINA: YUNNAN PROVINCE,24.15,102.45,10,7,942,3,,,112,3,,3,,4,,
1914,5,26,Tsu,,INDONESIA: NEW GUINEA: IRIAN JAYA: JAPEN,-1.829,136.943,15,8.1,,3,,,,,,2,,3,,
1914,5,31,,,ECUADOR: MONTE PULLERINA,-0.2,-78.2,10,5.8,,,,,,,,,,,,
1914,11,27,Tsu,,GREECE: LEUKAS ISLAND,38.8,20.6,30,6.3,14,1,,,,,,3,,3,,2
